Elon Musk,W
Michael Malice,J
Jay Bhattacharya,I
Mark Normand,W
Yaron Brook + Yorom Hazony,J J
Brain Keating,J
Yann LeCun,W?
Thomas Tull,J?
Georges St-Pierre + John Danaher + Gordon Ryan,W W W
Phillip Goff,W
Garry Nolan,W?
John Abramson,W?
Tim Urban,J
Devon Larratt,W
Nicole Perlroth,J
Mark Zuckerberg,J
Robert Proctor,W?
Lee Cronin,W?
David Wolpe,J
Ariel Ekblaw,W?
Brett Johnson,W?
Chris Blattman,J?
Karl Deisseroth,W?
Rick Rubin,J
Michael Saylor,W
Andrew Huberman,W?
Skye Fitzgerald,W?
Sara Walker + Lee Cronin,W? W?
Cristiano Amon,W?
"Claire Boucher ""Grimes""",W
David Buss,W?
Chris Mason,W?
Saifedean Ammous,M?
Glenn Loury,B
Oliver Stone,J
Bobby Lee,A
Sarma Melngailis,W
Stephen Kotkin,W
Dan Reynolds,W
Jonathan Haidt,J
Robin Hanson,W?
Donald Hoffman,W?
Tony Fadell,W?
Richard Wolff,J
Douglas Murray,W
Jonathan Reisman,J
Susan Cain,J
Demis Hassabis,X
Joe Rogan,W
"Albrecht Dittrich ""Jack Barsky""",W
Richard Haier,W?
Steve Keen,W?
Robert Barron,W
Martin Rees,W
Oriol Vinyals,W?
Brian Armstrong,W
Ryan Graves,W
John Carmack,W
Andrew Bustamante,X?
Magatte Wade,B
Duncan Trussell,J
Jordan Peterson,W
Liv Boeree,W?
Magnus Carlsen,W
Noam Chomsky,J
John Vervaeke,W?
Nick Lane,W?
Andrea Botez + Alexandra Botez,W W
Christopher Capozzola,W?
Ray Kurzweil,J
Rana el Kaliouby,M
Will Sasso,W
Daniel Negreanu,W
Michael Levin,J
Annaka Harris (maiden name Gorton),J?
"Levy Rozman ""GothamChess""",J
John Danaher,W
Kate Darling,W?
Hikaru Nakamura,X
Balaji Srinivasan,I
Ye West,B
Andrej Karpathy,W
Abbas Amanat,M?
Fiona Hill,W?
Ben Shapiro,J
"Steven Bonnell ""Destiny""",W
Chamath Palihapitiya,I
Bjorn Lomborg + Andrew Revkin,W J
Chris Tarbell,W?
Guido van Rossum,W
Todd Howard,W?
Roger Gracie,H
Noam Brown,X?
"""Coffeezilla"" Stephen Findeisen",W?
Ed Calderon,H
Michael Malice,J
